Target,Common.name,Uniprot.ID,ChEMBL.ID,Target.Class,Probability.,Known.actives..3D.2D.,Compuesto
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.0743922719035,2 /  2     ,E
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.0743922719035,239 /  0     ,E
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.0743922719035,2 /  8     ,E
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.0743922719035,120 /  0     ,E
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.0743922719035,5 /  0     ,E
Cyclin-dependent kinase 9,CDK9,P50750,CHEMBL3116,Kinase,0.0743922719035,50 /  0     ,E
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.0743922719035,24 /  0     ,E
Endothelin receptor ET-A,EDNRA,P25101,CHEMBL252,Family A G protein-coupled receptor,0.0743922719035,73 /  4     ,E
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.0743922719035,54 /  0     ,E
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.0743922719035,60 /  0     ,E
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.0743922719035,97 /  0     ,E
Proteasome Macropain subunit,PSMB2,P49721,CHEMBL3492,Protease,0.0743922719035,2 /  0     ,E
26S proteosome,PSMB1,P20618,CHEMBL4208,Protease,0.0743922719035,2 /  0     ,E
Proteasome Macropain subunit MB1,PSMB5,P28074,CHEMBL4662,Protease,0.0743922719035,8 /  0     ,E
Renin,REN,P00797,CHEMBL286,Protease,0.0743922719035,439 /  0     ,E
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.0743922719035,172 /  0     ,E
Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.0743922719035,98 /  0     ,E
Protein kinase C (PKC),PRKCZ,Q05513,CHEMBL3438,Kinase,0.0743922719035,2 /  0     ,E
Cytochrome P450 51,CYP51A1,Q16850,CHEMBL3849,Cytochrome P450,0.0743922719035,11 /  0     ,E
NAD-dependent deacetylase sirtuin 2,SIRT2,Q8IXJ6,CHEMBL4462,Eraser,0.0743922719035,6 /  0     ,E
Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.0743922719035,283 /  2     ,E
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.0743922719035,14 /  0     ,E
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.0743922719035,139 /  0     ,E
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.0743922719035,282 /  0     ,E
Tyrosine-protein kinase JAK2,JAK2,O60674,CHEMBL2971,Kinase,0.0743922719035,183 /  0     ,E
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.0743922719035,22 /  0     ,E
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.0743922719035,204 /  0     ,E
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.0743922719035,151 /  0     ,E
ADAM17,ADAM17,P78536,CHEMBL3706,Protease,0.0743922719035,119 /  0     ,E
Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.0743922719035,25 /  0     ,E
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.0743922719035,36 /  0     ,E
Interleukin-6 receptor subunit beta,IL6ST,P40189,CHEMBL3124734,Membrane receptor,0.0743922719035,2 /  0     ,E
Caspase-8,CASP8,Q14790,CHEMBL3776,Protease,0.0743922719035,68 /  0     ,E
Caspase-1,CASP1,P29466,CHEMBL4801,Protease,0.0743922719035,90 /  0     ,E
Vascular endothelial growth factor receptor 3,FLT4,P35916,CHEMBL1955,Kinase,0.0743922719035,16 /  0     ,E
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.0743922719035,67 /  0     ,E
Proteasome subunit beta type-8,PSMB8,P28062,CHEMBL5620,Protease,0.0743922719035,21 /  0     ,E
Geranylgeranyl transferase type I,PGGT1B FNTA,P53609 P49354,CHEMBL2095164,Enzyme,0.0743922719035,7 /  1     ,E
Thromboxane-A synthase,TBXAS1,P24557,CHEMBL1835,Cytochrome P450,0.0743922719035,13 /  0     ,E
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.0743922719035,64 /  0     ,E
"Thymidine kinase, cytosolic",TK1,P04183,CHEMBL2883,Transferase,0.0743922719035,7 /  0     ,E
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.125687252905,7 /  2     ,F
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.125687252905,184 /  17     ,F
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.125687252905,174 /  21     ,F
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.125687252905,186 /  115     ,F
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.125687252905,76 /  238     ,F
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.125687252905,0 /  4     ,F
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.125687252905,166 /  57     ,F
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.125687252905,93 /  54     ,F
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.125687252905,5 /  3     ,F
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.125687252905,5 /  3     ,F
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.125687252905,22 /  6     ,F
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.125687252905,13 /  2     ,F
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.125687252905,0 /  8     ,F
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.125687252905,81 /  59     ,F
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.125687252905,594 /  10     ,F
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.125687252905,43 /  5     ,F
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.125687252905,45 /  40     ,F
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.125687252905,50 /  15     ,F
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.125687252905,9 /  11     ,F
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.125687252905,210 /  0     ,F
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.125687252905,6 /  0     ,F
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.125687252905,52 /  6     ,F
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.125687252905,0 /  1     ,F
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.125687252905,23 /  27     ,F
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.125687252905,0 /  1     ,F
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.125687252905,31 /  3     ,F
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.125687252905,20 /  5     ,F
Thrombin,F2,P00734,CHEMBL204,Protease,0.125687252905,86 /  9     ,F
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.125687252905,16 /  8     ,F
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.125687252905,5 /  11     ,F
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.125687252905,2 /  2     ,F
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.125687252905,37 /  60     ,F
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.125687252905,8 /  0     ,F
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.125687252905,17 /  0     ,F
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.125687252905,8 /  6     ,F
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.125687252905,51 /  0     ,F
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.125687252905,14 /  0     ,F
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.125687252905,227 /  0     ,F
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.125687252905,544 /  1     ,F
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.125687252905,123 /  0     ,F
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.125687252905,16 /  0     ,F
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.125687252905,230 /  0     ,F
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.125687252905,144 /  0     ,F
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.125687252905,7 /  15     ,F
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.125687252905,234 /  26     ,F
Gamma-secretase,PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B,P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43,CHEMBL2094135,Protease,0.125687252905,107 /  0     ,F
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.125687252905,301 /  0     ,F
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.125687252905,17 /  18     ,F
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.125687252905,91 /  0     ,F
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.125687252905,187 /  0     ,F
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.125687252905,55 /  7     ,F
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.125687252905,69 /  0     ,F
Serine/threonine-protein kinase mTOR,MTOR,P42345,CHEMBL2842,Kinase,0.125687252905,224 /  0     ,F
p53-binding protein Mdm-2,MDM2,Q00987,CHEMBL5023,Other nuclear protein,0.125687252905,202 /  0     ,F
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.125687252905,35 /  0     ,F
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.125687252905,36 /  0     ,F
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.125687252905,18 /  0     ,F
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.125687252905,52 /  0     ,F
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.125687252905,9 /  0     ,F
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.125687252905,161 /  0     ,F
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.125687252905,6 /  0     ,F
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.125687252905,58 /  0     ,F
DNA-dependent protein kinase,PRKDC,P78527,CHEMBL3142,Kinase,0.125687252905,91 /  0     ,F
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.125687252905,2 /  8     ,F
Inosine-5'-monophosphate dehydrogenase 1,IMPDH1,P20839,CHEMBL1822,Oxidoreductase,0.125687252905,8 /  0     ,F
Inosine-5'-monophosphate dehydrogenase 2,IMPDH2,P12268,CHEMBL2002,Oxidoreductase,0.125687252905,50 /  0     ,F
Tyrosine-protein kinase JAK3,JAK3,P52333,CHEMBL2148,Kinase,0.125687252905,160 /  0     ,F
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.125687252905,143 /  0     ,F
Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.125687252905,34 /  0     ,F
Mammalian target of Rapamycin (mTORC1),FKBP1A MTOR,P62942 P42345,CHEMBL2221341,Kinase,0.125687252905,14 /  0     ,F
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.125687252905,135 /  0     ,F
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.125687252905,146 /  0     ,F
Platelet-derived growth factor receptor beta,PDGFRB,P09619,CHEMBL1913,Kinase,0.125687252905,22 /  0     ,F
Protein kinase C (PKC),PRKCZ,Q05513,CHEMBL3438,Kinase,0.125687252905,3 /  0     ,F
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.125687252905,426 /  0     ,F
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.125687252905,378 /  0     ,F
Tyrosine-protein kinase ITK/TSK,ITK,Q08881,CHEMBL2959,Kinase,0.125687252905,47 /  0     ,F
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.125687252905,0 /  4     ,F
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.125687252905,56 /  0     ,F
Nociceptin receptor,OPRL1,P41146,CHEMBL2014,Family A G protein-coupled receptor,0.125687252905,155 /  0     ,F
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.125687252905,60 /  0     ,F
Glycogen synthase kinase-3 alpha,GSK3A,P49840,CHEMBL2850,Kinase,0.125687252905,20 /  0     ,F
MAP kinase ERK1,MAPK3,P27361,CHEMBL3385,Kinase,0.125687252905,15 /  0     ,F
MAP kinase p38 beta,MAPK11,Q15759,CHEMBL3961,Kinase,0.125687252905,19 /  0     ,F
Prostaglandin E synthase,PTGES,O14684,CHEMBL5658,Enzyme,0.125687252905,17 /  7     ,F
CDK2/Cyclin A,CCNA2 CDK2,P20248 P24941,CHEMBL3038469,Kinase,0.125687252905,32 /  0     ,F
PI3-kinase p110-beta subunit,PIK3CB,P42338,CHEMBL3145,Enzyme,0.125687252905,133 /  0     ,F
Toll-like receptor (TLR7/TLR9),TLR9,Q9NR96,CHEMBL5804,Toll-like and Il-1 receptors,0.125687252905,9 /  2     ,F
Cyclin-dependent kinase 2/cyclin E1,CCNE1 CDK2,P24864 P24941,CHEMBL1907605,Kinase,0.125687252905,40 /  0     ,F
GABA-A receptor; alpha-5/beta-3/gamma-2,GABRB3 GABRG2 GABRA5,P28472 P18507 P31644,CHEMBL2094122,Ligand-gated ion channel,0.125687252905,7 /  0     ,F
Beta secretase 2,BACE2,Q9Y5Z0,CHEMBL2525,Protease,0.125687252905,69 /  0     ,F
Serotonin 6 (5-HT6) receptor,HTR6,P50406,CHEMBL3371,Family A G protein-coupled receptor,0.125687252905,96 /  0     ,F
Phosphodiesterase 1C,PDE1C,Q14123,CHEMBL4619,Phosphodiesterase,0.125687252905,17 /  0     ,F
LIM domain kinase 2,LIMK2,P53671,CHEMBL5932,Kinase,0.125687252905,13 /  0     ,F
c-Jun N-terminal kinase 1,MAPK8,P45983,CHEMBL2276,Kinase,0.125687252905,59 /  0     ,F
c-Jun N-terminal kinase 3,MAPK10,P53779,CHEMBL2637,Kinase,0.125687252905,51 /  0     ,F
c-Jun N-terminal kinase 2,MAPK9,P45984,CHEMBL4179,Kinase,0.125687252905,31 /  0     ,F
Peroxisome proliferator-activated receptor gamma,PPARG,P37231,CHEMBL235,Nuclear receptor,0.125687252905,22 /  8     ,F
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.125687252905,7 /  0     ,F
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.125687252905,160 /  0     ,F
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.0833055530239,74 /  263     ,G
Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.0743922719035,15 /  2     ,G
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.0743922719035,18 /  32     ,G
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.0743922719035,0 /  4     ,G
Protein kinase C delta,PRKCD,Q05655,CHEMBL2996,Kinase,0.0743922719035,65 /  66     ,G
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.0743922719035,195 /  41     ,G
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.0743922719035,52 /  9     ,G
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.0743922719035,42 /  15     ,G
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.0743922719035,25 /  7     ,G
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.0743922719035,16 /  5     ,G
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.0743922719035,40 /  8     ,G
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.0743922719035,131 /  16     ,G
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.0743922719035,7 /  6     ,G
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.0743922719035,0 /  1     ,G
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.0743922719035,9 /  2     ,G
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.0743922719035,0 /  8     ,G
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.0743922719035,96 /  53     ,G
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.0743922719035,0 /  1     ,G
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.0743922719035,0 /  4     ,G
HMG-CoA reductase   (by homology),HMGCR,P04035,CHEMBL402,Oxidoreductase,0.0743922719035,142 /  105     ,G
PI3-kinase p110-alpha subunit,PIK3CA,P42336,CHEMBL4005,Enzyme,0.0743922719035,447 /  0     ,G
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.0743922719035,98 /  51     ,G
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.0743922719035,5 /  0     ,G
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.0743922719035,58 /  0     ,G
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.0743922719035,13 /  11     ,G
P2X purinoceptor 3,P2RX3,P56373,CHEMBL2998,Ligand-gated ion channel,0.0743922719035,341 /  0     ,G
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.0743922719035,124 /  0     ,G
PI3-kinase p110-beta subunit,PIK3CB,P42338,CHEMBL3145,Enzyme,0.0743922719035,115 /  0     ,G
Pregnane X receptor,NR1I2,O75469,CHEMBL3401,Nuclear receptor,0.0743922719035,6 /  0     ,G
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.0743922719035,1 /  1     ,G
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.0743922719035,145 /  0     ,G
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.0743922719035,150 /  0     ,G
Renin,REN,P00797,CHEMBL286,Protease,0.0743922719035,511 /  0     ,G
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.0743922719035,500 /  12     ,G
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.0743922719035,112 /  3     ,G
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.0743922719035,132 /  22     ,G
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.0743922719035,215 /  0     ,G
Splicing factor 3B subunit 3,SF3B3,Q15393,CHEMBL1250378,Unclassified protein,0.0743922719035,2 /  9     ,G
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.0743922719035,245 /  0     ,G
Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.0743922719035,19 /  0     ,G
Cyclin-dependent kinase 2/cyclin A,CDK2 CCNA1 CCNA2,P24941 P78396 P20248,CHEMBL2094128,Other cytosolic protein,0.0743922719035,56 /  0     ,G
Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.0743922719035,8 /  0     ,G
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.0743922719035,6 /  3     ,G
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.0743922719035,58 /  2     ,G
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.0743922719035,148 /  0     ,G
Fatty acid synthase,FASN,P49327,CHEMBL4158,Transferase,0.0743922719035,28 /  0     ,G
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.0743922719035,119 /  0     ,G
Brain adenylate cyclase 1,ADCY1,Q08828,CHEMBL2899,Enzyme,0.0743922719035,39 /  32     ,G
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.0743922719035,467 /  1     ,G
Thrombin,F2,P00734,CHEMBL204,Protease,0.0743922719035,104 /  9     ,G
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.0743922719035,40 /  0     ,G
Thrombin and coagulation factor X,F10,P00742,CHEMBL244,Protease,0.0743922719035,162 /  0     ,G
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.0743922719035,14 /  0     ,G
Sorbitol dehydrogenase,SORD,Q00796,CHEMBL2275,Enzyme,0.0743922719035,46 /  0     ,G
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.0743922719035,101 /  0     ,G
Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.0743922719035,83 /  0     ,G
PI3-kinase p110-delta subunit,PIK3CD,O00329,CHEMBL3130,Enzyme,0.0743922719035,82 /  0     ,G
MAP kinase ERK1,MAPK3,P27361,CHEMBL3385,Kinase,0.0743922719035,14 /  0     ,G
Serine/threonine-protein kinase Chk1,CHEK1,O14757,CHEMBL4630,Kinase,0.0743922719035,97 /  0     ,G
Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.0743922719035,254 /  0     ,G
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.0743922719035,217 /  0     ,G
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.0743922719035,8 /  0     ,G
Period circadian protein homolog 2,PER2,O15055,CHEMBL3751648,Unclassified protein,0.0743922719035,15 /  0     ,G
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.0743922719035,12 /  0     ,G
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.0743922719035,27 /  40     ,G
Matrix metalloproteinase 7,MMP7,P09237,CHEMBL4073,Protease,0.0743922719035,34 /  0     ,G
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.0743922719035,22 /  0     ,G
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.0743922719035,69 /  0     ,G
Peptide N-myristoyltransferase 1,NMT1,P30419,CHEMBL2593,Enzyme,0.0743922719035,6 /  0     ,G
Pyruvate dehydrogenase kinase isoform 1,PDK1,Q15118,CHEMBL4766,Kinase,0.0743922719035,15 /  0     ,G
Transient receptor potential cation channel subfamily V member 4,TRPV4,Q9HBA0,CHEMBL3119,Voltage-gated ion channel,0.0743922719035,6 /  5     ,G
Serine/threonine-protein kinase Aurora-A,AURKA,O14965,CHEMBL4722,Kinase,0.0743922719035,126 /  0     ,G
Protein-tyrosine phosphatase 2C,PTPN11,Q06124,CHEMBL3864,Phosphatase,0.0743922719035,2 /  1     ,G
Cytochrome P450 51,CYP51A1,Q16850,CHEMBL3849,Cytochrome P450,0.0743922719035,12 /  0     ,G
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.0743922719035,3 /  3     ,G
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.0743922719035,23 /  6     ,G
Potassium-transporting ATPase alpha chain 2,ATP12A,P54707,CHEMBL2933,Primary active transporter,0.0743922719035,0 /  9     ,G
Complement factor D,CFD,P00746,CHEMBL2176771,Protease,0.0743922719035,64 /  0     ,G
Adenosine A2b receptor,ADORA2B,P29275,CHEMBL255,Family A G protein-coupled receptor,0.0743922719035,14 /  0     ,G
Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.0743922719035,170 /  0     ,G
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.0743922719035,40 /  5     ,G
PI3-kinase p110-gamma subunit,PIK3CG,P48736,CHEMBL3267,Enzyme,0.0743922719035,90 /  0     ,G
Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.0743922719035,25 /  0     ,G
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.0743922719035,36 /  0     ,G
Proto-oncogene tyrosine-protein kinase MER,MERTK,Q12866,CHEMBL5331,Kinase,0.0743922719035,34 /  0     ,G
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.0743922719035,32 /  8     ,G
Protein Wnt-3a,WNT3A,P56704,CHEMBL1255137,Unclassified protein,0.0743922719035,12 /  0     ,G
CDK2/Cyclin A,CCNA2 CDK2,P20248 P24941,CHEMBL3038469,Kinase,0.0743922719035,45 /  0     ,G
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.0743922719035,322 /  0     ,G
Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.0743922719035,21 /  0     ,G
